開催年月日,タイトル,場所,テーマ,タグ
2012-11-17,高専カンファレンス in 釧路,釧路工業高等専門学校―1階大講義室（北海道釧路市）,高専生外を見ろ！,062kushiro
2012-11-24,ロボコニストカンファレンス・リトライ,墨田区　みどりコミュニティセンター（東京都墨田区）,ロボコン,064rbcn
2012-12-22,高専カンファレンス in 三重2,三重県総合文化センター 大研修室（三重県津市）,Let's Study!,060mie2
2013-01-12,高専カンファレンス in 神戸2,大学共同利用施設UNITY（兵庫県神戸市）,繋ぐ、繋がる、繋げる,065kobe2
2013-01-19,高専カンファレンス in 沼津2,沼津工業高専（静岡県沼津市）,つながれ、とびだせ！沼津高専生,066numazu2
2013-03-09,高専カンファレンス in 名古屋,中小企業振興会館(吹上ホール) 第3会議室（愛知県名古屋市）,,050nagoya
2013-03-16,高専カンファレンス in 津山,津山高専（岡山県津山市）,みんなに伝えたい、2012,070tsuyama
2013-03-23,Rails寺子屋 x kosenconf,株式会社オプティム（東京都港区）,,068terakoya
2013-06-15,高専カンファレンス5周年記念パーティ,株式会社 VOYAGE GROUP さんのオフィス（東京都渋谷区）,,071kc5party
2013-06-29,高専カンファレンス in 沖縄,奥武山公園 武道館1F　会議室（沖縄県那覇市）,高専チャンプルー,069okinawa
2013-08-03,Rails寺子屋x高専カンファレンス 第2回,Pixiv,,075terakoya
2013-08-06,高専カンファレンス in 仙台2,PARM-CITY_131 5F Room5A,In English please! ～自分の興味のあるものについて英語で発信してみよう～,072sendai2
2013-08-24,高専カンファレンス in 北海道3,北海道大学学生交流会館講堂,きっかけ,074hokkaido3
2013-11-03,高専カンファレンス in 釧路2,釧路市生涯学習センター まなぼっと幣舞,,077kushiro2
2013-11-03,高専カンファレンス in いわき,福島工業高等専門学校,I × Kosen = Identity,078iwaki
2014-01-12,CAMPHOR- x kosenconf,CAMPHOR-HOUSE（京都府京都市）,廿,083camphor-
2014-01-18,高専カンファレンス in 沼津3,沼津高専,diorama,076numazu3
2014-01-18,Rails寺子屋x高専カンファレンス 第3回,COOKPAD,,082terakoya
2014-02-15,高専カンファレンス in 長岡2,アオーレ長岡（新潟県長岡市）,Wake Up Geek!,081nagaoka2
2014-03-01,高専カンファレンス in 三重三,鈴鹿工業高等専門学校,Three Strikes!!!,079mie3
2014-03-15,高専カンファレンス in 近畿,みやこめっせ 京都市勧業館,温故知新,073kinki
2014-03-22,高専カンファレンス in 東京,株式会社ドリコム,dev or hack -being geek-,080Tokyo
2014-05-24,Rails寺子屋x高専カンファレンス 第4回,株式会社ドリコム,,084terakoya
2014-06-14,高専カンファレンス6周年パーティー,ピクシブ株式会社,,086kc6party
2014-08-23,高専カンファレンス in 名古屋2,大須第一アメ横,はじめまして,085nagoya2
2014-10-25,Rails寺子屋x高専カンファレンス 第5回,株式会社チームラボ,,088terakoya
2014-11-08,高専カンファレンス×NAIST,奈良先端科学技術大学院大学（NAIST）,,087naist
2014-12-13,高専カンファレンス in 福井2,福井工業高等専門学校 一般教室棟3F 合併教室（福井県鯖江市）,null,089fukui
2015-03-21,高専カンファレンス in 津山2,津山高専,Develop your connection.,091tsuyama2
2015-03-22,高専カンファレンス in DMM.makeAkiba,DMM Make Akiba（東京都千代田区神田練塀町3）,,092TOKYO-DMM-MAKE-AKIBA
2015-03-28,Rails寺子屋x高専カンファレンス 第6回,クックパッド株式会社,,093terakoya
2015-04-25,高専カンファレンス in 沖縄2,沖縄科学技術大学院大学,,090okinawa
2015-08-01,Rails寺子屋x高専カンファレンス 第7回,ピクシブ株式会社（東京都渋谷区千駄ヶ谷）,,099terakoya
2015-09-19,高専カンファレンス in 松江3,松江テルサ　中会議室(島根県松江市朝日町478-18(JR松江駅前)),,096matsue3
"2015-10-11,12",高専カンファレンス with プロコン,ホクト文化ホール（長野県長野市）,,098procon
2015-10-24,高専カンファレンス in 金沢,学校法人金沢工業大学金沢工業高等専門学校（石川県野々市市）講義室,Innovation,094kanazawa
2015-10-31,高専カンファレンス in 釧路3,釧路工業高等専門学校,冒険しよう！,095kushiro3
2015-11-07,高専カンファレンス in KOF 2015,大阪南港ATC ITM棟,,097kof2015
"2015-12-19,20",高専カンファレンス100 in 東京,国立大学法人電気通信大学,Dreaming,100tokyo
2016-04-30,高専カンファレンスlol,明石高専,lol,101lol
2016-08-14,高専カンファレンス in コミケ,"コミックマーケット90(C90) 東地区 ""フ"" ブロック 06b",,102c90
"2016-10-22,23",高専カンファレンス in 茨香祭,茨城高専,Challenge,104shikosai
2016-12-31,高専カンファレンス in Comike91,コミックマーケット91(C91) 3日目(土曜日) 東O41a,,106c91
